sport,pattern_id,sources_combo,market_type,direction,stat_type,n,wins,losses,pushes,win_rate,wilson_lower,units,roi,avg_odds,roi_eligible_count,confidence_bucket,recommendation
NBA,NBA|covers|juicereel_sxebets|sportsline,covers|juicereel_sxebets|sportsline,player_prop,OVER,,2,0,2,0,0.0,0.0,-3.0,-1.5,-103.0,1,insufficient_sample,needs_more_sample
NBA,NBA|betql|juicereel_nukethebooks|oddstrader,betql|juicereel_nukethebooks|oddstrader,player_prop,OVER,,2,0,2,0,0.0,0.0,-2.19,-1.095,-121.0,2,insufficient_sample,needs_more_sample
NBA,NBA|betql|bettingpros_experts|oddstrader|sportsline,betql|bettingpros_experts|oddstrader|sportsline,total,UNDER,,2,2,0,0,1.0,0.3424,0.0,0.0,,0,insufficient_sample,needs_more_sample
NBA,NBA|action|betql|bettingpros_experts|sportsline,action|betql|bettingpros_experts|sportsline,spread,DET,,2,0,2,0,0.0,0.0,-2.05,-1.025,-110.0,0,insufficient_sample,needs_more_sample
NBA,NBA|action|dimers|juicereel_sxebets,action|dimers|juicereel_sxebets,total,UNDER,,2,0,2,0,0.0,0.0,-2.03,-1.015,-106.0,0,insufficient_sample,needs_more_sample
NBA,NBA|action|dimers|juicereel_sxebets|oddstrader|vegasinsider,action|dimers|juicereel_sxebets|oddstrader|vegasinsider,total,UNDER,,2,0,2,0,0.0,0.0,-2.05,-1.025,-110.0,1,insufficient_sample,needs_more_sample
NBA,NBA|bettingpros_experts|covers|oddstrader,bettingpros_experts|covers|oddstrader,total,UNDER,,2,0,2,0,0.0,0.0,-2.03,-1.015,-2.5,1,insufficient_sample,needs_more_sample
NBA,NBA|bettingpros_experts|covers|oddstrader|vegasinsider,bettingpros_experts|covers|oddstrader|vegasinsider,spread,MIA,,2,2,0,0,1.0,0.3424,1.94,0.968,-107.0,1,insufficient_sample,needs_more_sample
NBA,NBA|covers|oddstrader|sportsline,covers|oddstrader|sportsline,player_prop,OVER,,2,1,1,0,0.5,0.0945,-0.09,-0.045,-110.0,2,insufficient_sample,needs_more_sample
NBA,NBA|action|betql|covers|sportsline,action|betql|covers|sportsline,spread,DEN,,2,0,2,0,0.0,0.0,-2.07,-1.035,-115.0,0,insufficient_sample,needs_more_sample
NBA,NBA|bettingpros_experts|covers|sportsline|vegasinsider,bettingpros_experts|covers|sportsline|vegasinsider,spread,ATL,,2,2,0,0,1.0,0.3424,1.94,0.9725,-105.5,1,insufficient_sample,needs_more_sample
NBA,NBA|bettingpros_experts|dimers|oddstrader|sportsline,bettingpros_experts|dimers|oddstrader|sportsline,moneyline,team,,2,2,0,0,1.0,0.3424,1.62,0.8115,-146.0,1,insufficient_sample,needs_more_sample
NBA,NBA|betql|bettingpros_experts|vegasinsider,betql|bettingpros_experts|vegasinsider,spread,,,2,1,1,0,0.5,0.0945,0.36,0.1825,65.0,1,insufficient_sample,needs_more_sample
NBA,NBA|action|betql|juicereel_sxebets,action|betql|juicereel_sxebets,player_prop,UNDER,,2,1,1,0,0.5,0.0945,0.84,0.42,-6.5,0,insufficient_sample,needs_more_sample
NBA,NBA|betql|bettingpros_experts|oddstrader|vegasinsider,betql|bettingpros_experts|oddstrader|vegasinsider,spread,DET,,2,2,0,0,1.0,0.3424,1.96,0.9775,-5.0,1,insufficient_sample,needs_more_sample
NBA,NBA|juicereel_unitvacuum|sportsline|vegasinsider,juicereel_unitvacuum|sportsline|vegasinsider,spread,MIA,,2,2,0,0,1.0,0.3424,0.92,0.915,-118.0,1,insufficient_sample,needs_more_sample
NBA,NBA|dimers|juicereel_unitvacuum|oddstrader,dimers|juicereel_unitvacuum|oddstrader,moneyline,NOP,,2,0,2,0,0.0,0.0,-1.72,-0.86,178.0,1,insufficient_sample,needs_more_sample
NBA,NBA|bettingpros_5star|bettingpros_experts|oddstrader|vegasinsider,bettingpros_5star|bettingpros_experts|oddstrader|vegasinsider,spread,MIN,,2,0,2,0,0.0,0.0,-2.08,-1.04,-108.5,2,insufficient_sample,needs_more_sample
NBA,NBA|action|betql|bettingpros_5star|bettingpros_experts|juicereel_nukethebooks,action|betql|bettingpros_5star|bettingpros_experts|juicereel_nukethebooks,total,UNDER,,2,2,0,0,1.0,0.3424,0.21,0.211,-850.0,0,insufficient_sample,needs_more_sample
NBA,NBA|bettingpros_experts|oddstrader|vegasinsider,bettingpros_experts|oddstrader|vegasinsider,spread,CHA,,2,1,1,0,0.5,0.0945,-0.34,-0.1685,-143.5,1,insufficient_sample,needs_more_sample
NBA,NBA|action|bettingpros_experts|covers|sportsline,action|bettingpros_experts|covers|sportsline,moneyline,ATL,,2,2,0,0,1.0,0.3424,0.0,0.0,,0,insufficient_sample,needs_more_sample
NBA,NBA|bettingpros_experts|covers|vegasinsider,bettingpros_experts|covers|vegasinsider,spread,ATL,,2,2,0,0,1.0,0.3424,1.91,0.955,-110.0,2,insufficient_sample,needs_more_sample
NBA,NBA|dimers|juicereel_unitvacuum,dimers|juicereel_unitvacuum,spread,team,,2,0,2,0,0.0,0.0,-1.9,-0.95,111.0,1,insufficient_sample,needs_more_sample
NBA,NBA|action|juicereel_unitvacuum|vegasinsider,action|juicereel_unitvacuum|vegasinsider,total,UNDER,,2,0,2,0,0.0,0.0,-2.05,-1.025,-110.0,1,insufficient_sample,needs_more_sample
NBA,NBA|action|juicereel_sxebets|sportsline,action|juicereel_sxebets|sportsline,player_prop,OVER,,2,0,2,0,0.0,0.0,-1.93,-0.965,116.0,1,insufficient_sample,needs_more_sample
NBA,NBA|action|covers|dimers|oddstrader|sportsline,action|covers|dimers|oddstrader|sportsline,spread,ATL,,2,0,2,0,0.0,0.0,-1.94,-0.97,113.0,1,insufficient_sample,needs_more_sample
NBA,NBA|action|oddstrader|sportsline|vegasinsider,action|oddstrader|sportsline|vegasinsider,spread,CHA,,2,0,2,0,0.0,0.0,-2.05,-1.025,-110.0,1,insufficient_sample,needs_more_sample
NBA,NBA|action|bettingpros_5star|sportsline|vegasinsider,action|bettingpros_5star|sportsline|vegasinsider,spread,,,2,0,2,0,0.0,0.0,-2.1,-1.05,-110.0,2,insufficient_sample,needs_more_sample
NBA,NBA|action|betql|oddstrader|sportsline|vegasinsider,action|betql|oddstrader|sportsline|vegasinsider,spread,ORL,,2,2,0,0,1.0,0.3424,0.95,0.955,-110.0,1,insufficient_sample,needs_more_sample
NBA,NBA|action|bettingpros_props|sportsline,action|bettingpros_props|sportsline,player_prop,OVER,,2,0,2,0,0.0,0.0,-1.86,-0.93,133.0,1,insufficient_sample,needs_more_sample
NBA,NBA|action|betql|bettingpros_experts|oddstrader|vegasinsider,action|betql|bettingpros_experts|oddstrader|vegasinsider,spread,ORL,,2,0,2,0,0.0,0.0,-1.92,-0.96,10.0,1,insufficient_sample,needs_more_sample
NBA,NBA|action|betql|covers|sportsline|vegasinsider,action|betql|covers|sportsline|vegasinsider,spread,HOU,,2,0,2,0,0.0,0.0,-2.05,-1.025,-110.0,1,insufficient_sample,needs_more_sample
MLB,MLB|action|covers|sportsline,action|covers|sportsline,moneyline,team,,2,0,2,0,0.0,0.0,-2.1,-1.05,-110.0,2,insufficient_sample,needs_more_sample
NBA,NBA|action|juicereel_nukethebooks|oddstrader,action|juicereel_nukethebooks|oddstrader,moneyline,SAC,,1,0,1,0,0.0,0.0,-1.0,-1.0,,0,insufficient_sample,needs_more_sample
NBA,NBA|covers|juicereel_sxebets|oddstrader,covers|juicereel_sxebets|oddstrader,player_prop,OVER,,1,1,0,0,1.0,0.2065,0.95,0.955,-110.0,1,insufficient_sample,needs_more_sample
NBA,NBA|bettingpros|bettingpros_experts|dimers|vegasinsider,bettingpros|bettingpros_experts|dimers|vegasinsider,total,UNDER,,1,1,0,0,1.0,0.2065,1.0,1.0,-100.0,0,insufficient_sample,needs_more_sample
NBA,NBA|bettingpros|juicereel_nukethebooks,bettingpros|juicereel_nukethebooks,total,UNDER,,1,0,1,0,0.0,0.0,-0.9,-0.9,-105.0,0,insufficient_sample,needs_more_sample
NBA,NBA|bettingpros|oddstrader,bettingpros|oddstrader,moneyline,BKN,,1,0,1,0,0.0,0.0,-1.0,-1.0,,0,insufficient_sample,needs_more_sample
NBA,NBA|covers|juicereel_nukethebooks|oddstrader,covers|juicereel_nukethebooks|oddstrader,player_prop,OVER,,1,0,1,0,0.0,0.0,-1.0,-1.0,101.0,1,insufficient_sample,needs_more_sample
NBA,NBA|action|covers|juicereel_sxebets,action|covers|juicereel_sxebets,player_prop,OVER,,1,1,0,0,1.0,0.2065,0.96,0.963,-107.0,1,insufficient_sample,needs_more_sample
NBA,NBA|oddstrader|vegasinsider,oddstrader|vegasinsider,player_prop,OVER,,1,0,1,0,0.0,0.0,-1.0,-1.0,,0,insufficient_sample,needs_more_sample
NBA,NBA|bettingpros_experts|oddstrader|sportsline,bettingpros_experts|oddstrader|sportsline,moneyline,CHA,,1,0,1,0,0.0,0.0,-1.0,-1.0,,0,insufficient_sample,needs_more_sample
NBA,NBA|bettingpros_experts|juicereel_unitvacuum,bettingpros_experts|juicereel_unitvacuum,total,UNDER,,1,1,0,0,1.0,0.2065,0.38,0.377,-430.0,0,insufficient_sample,needs_more_sample
NBA,NBA|betql|bettingpros_5star|dimers|oddstrader,betql|bettingpros_5star|dimers|oddstrader,total,UNDER,,1,1,0,0,1.0,0.2065,0.0,0.0,,0,insufficient_sample,needs_more_sample
NBA,NBA|betql|bettingpros_experts|dimers|oddstrader|sportsline,betql|bettingpros_experts|dimers|oddstrader|sportsline,spread,BKN,,1,0,1,0,0.0,0.0,-1.05,-1.05,-110.0,0,insufficient_sample,needs_more_sample
NBA,NBA|covers|sportsline|vegasinsider,covers|sportsline|vegasinsider,spread,ATL,,1,1,0,0,1.0,0.2065,0.95,0.955,-110.0,0,insufficient_sample,needs_more_sample
NBA,NBA|betql|sportsline|vegasinsider,betql|sportsline|vegasinsider,spread,TOR,,1,1,0,0,1.0,0.2065,0.95,0.955,-110.0,0,insufficient_sample,needs_more_sample
NBA,NBA|bettingpros_props|dimers,bettingpros_props|dimers,player_prop,OVER,,1,0,1,0,0.0,0.0,-0.96,-0.96,108.0,1,insufficient_sample,needs_more_sample
NBA,NBA|action|bettingpros_5star,action|bettingpros_5star,total,UNDER,,1,0,1,0,0.0,0.0,-1.02,-1.02,-105.0,1,insufficient_sample,needs_more_sample
